nrow= 26			
Depth: cm; SOC/POC/MOC/MBC: mgC/cm3					
ID	Property	 Value
1	Depth			10
2	Sand			0.259
3	Clay			0.509
4	CN_MB_mean		8
5	CN_MB_min		2
6	CN_MB_max		14
7	CN_EP1			3
8	CN_EP2			3
9	CN_EM			3
10	fQOM			0.01
11	SOC				21.14
12	POC				5.67
13	MOC				15.47
14	DOC				0.31
15	MBC				0.53
16	EP1				0.0011
17	EP2				0.0011
18	EM				0.0014
19	CN_SOM			13
20	CN_POM			26
21	CN_MOM			10
22	CN_DOM			10
23	CN_MB			5.5
24	NH4				0.003
25	NO3				0.01
26	rCN_LIG2LAB		2
