MMDDHH	SIN_mg/cm3/h	STP_oC	SWC	SWP_MPa	pH
010510	3.53E-05	19.6	0.25	-4.51E-02	3.7
010511	3.53E-05	19.6	0.25	-4.51E-02	3.7
010512	3.53E-05	19.6	0.25	-4.51E-02	3.7
010513	3.53E-05	19.6	0.25	-4.51E-02	3.7
010514	3.53E-05	19.6	0.25	-4.51E-02	3.7
010515	3.53E-05	19.6	0.25	-4.51E-02	3.7
010516	3.53E-05	19.6	0.25	-4.51E-02	3.7
010517	3.53E-05	19.6	0.25	-4.51E-02	3.7
010518	3.53E-05	19.6	0.25	-4.51E-02	3.7
010519	3.53E-05	19.6	0.25	-4.51E-02	3.7
010520	3.53E-05	19.6	0.25	-4.51E-02	3.7
010521	3.53E-05	19.6	0.25	-4.51E-02	3.7
010522	3.53E-05	19.6	0.25	-4.51E-02	3.7
010523	3.53E-05	19.6	0.25	-4.51E-02	3.7
010524	3.53E-05	19.6	0.25	-4.51E-02	3.7
010601	3.53E-05	19.6	0.25	-4.51E-02	3.7
010602	3.53E-05	19.6	0.25	-4.51E-02	3.7
010603	3.53E-05	19.6	0.25	-4.51E-02	3.7
010604	3.53E-05	19.6	0.25	-4.51E-02	3.7
010605	3.53E-05	19.6	0.25	-4.51E-02	3.7
010606	3.53E-05	19.6	0.25	-4.51E-02	3.7
010607	3.53E-05	19.6	0.25	-4.51E-02	3.7
010608	3.53E-05	19.6	0.25	-4.51E-02	3.7
010609	3.53E-05	19.6	0.25	-4.51E-02	3.7
010610	3.53E-05	19.6	0.25	-4.51E-02	3.7
010611	3.53E-05	19.6	0.25	-4.51E-02	3.7
010612	3.53E-05	19.6	0.25	-4.51E-02	3.7
010613	3.53E-05	19.6	0.25	-4.51E-02	3.7
010614	3.53E-05	19.6	0.25	-4.51E-02	3.7
010615	3.53E-05	19.6	0.25	-4.51E-02	3.7
010616	3.53E-05	19.6	0.25	-4.51E-02	3.7
010617	3.53E-05	19.6	0.25	-4.51E-02	3.7
010618	3.53E-05	19.6	0.25	-4.51E-02	3.7
010619	3.53E-05	19.6	0.25	-4.51E-02	3.7
010620	3.53E-05	19.6	0.25	-4.51E-02	3.7
010621	3.53E-05	19.6	0.25	-4.51E-02	3.7
010622	3.53E-05	19.6	0.25	-4.51E-02	3.7
010623	3.53E-05	19.6	0.25	-4.51E-02	3.7
010624	3.53E-05	19.6	0.25	-4.51E-02	3.7
010701	3.53E-05	19.6	0.25	-4.51E-02	3.7
010702	3.53E-05	19.6	0.25	-4.51E-02	3.7
010703	3.53E-05	19.6	0.25	-4.51E-02	3.7
010704	3.53E-05	19.6	0.25	-4.51E-02	3.7
010705	3.53E-05	19.6	0.25	-4.51E-02	3.7
010706	3.53E-05	19.6	0.25	-4.51E-02	3.7
010707	3.53E-05	19.6	0.25	-4.51E-02	3.7
010708	3.53E-05	19.6	0.25	-4.51E-02	3.7
010709	3.53E-05	19.6	0.25	-4.51E-02	3.7
010710	3.53E-05	19.6	0.25	-4.51E-02	3.7
010711	3.53E-05	19.6	0.25	-4.51E-02	3.7
010712	3.53E-05	19.6	0.25	-4.51E-02	3.7
010713	3.53E-05	19.6	0.25	-4.51E-02	3.7
010714	3.53E-05	19.6	0.25	-4.51E-02	3.7
010715	3.53E-05	19.6	0.25	-4.51E-02	3.7
010716	3.53E-05	19.6	0.25	-4.51E-02	3.7
010717	3.53E-05	19.6	0.25	-4.51E-02	3.7
010718	3.53E-05	19.6	0.25	-4.51E-02	3.7
010719	3.53E-05	19.6	0.25	-4.51E-02	3.7
010720	3.53E-05	19.6	0.25	-4.51E-02	3.7
010721	3.53E-05	19.6	0.25	-4.51E-02	3.7
010722	3.53E-05	19.6	0.25	-4.51E-02	3.7
010723	3.53E-05	19.6	0.25	-4.51E-02	3.7
010724	3.53E-05	19.6	0.25	-4.51E-02	3.7
010801	3.53E-05	19.6	0.25	-4.51E-02	3.7
010802	3.53E-05	19.6	0.25	-4.51E-02	3.7
010803	3.53E-05	19.6	0.25	-4.51E-02	3.7
010804	3.53E-05	19.6	0.25	-4.51E-02	3.7
010805	3.53E-05	19.6	0.25	-4.51E-02	3.7
010806	3.53E-05	19.6	0.25	-4.51E-02	3.7
010807	3.53E-05	19.6	0.25	-4.51E-02	3.7
010808	3.53E-05	19.6	0.25	-4.51E-02	3.7
010809	3.53E-05	19.6	0.25	-4.51E-02	3.7
010810	3.53E-05	19.6	0.25	-4.51E-02	3.7
010811	3.53E-05	19.6	0.25	-4.51E-02	3.7
010812	3.53E-05	19.6	0.25	-4.51E-02	3.7
010813	3.53E-05	19.6	0.25	-4.51E-02	3.7
010814	3.53E-05	19.6	0.25	-4.51E-02	3.7
010815	3.53E-05	19.6	0.25	-4.51E-02	3.7
010816	3.53E-05	19.6	0.25	-4.51E-02	3.7
010817	3.53E-05	19.6	0.25	-4.51E-02	3.7
010818	3.53E-05	19.6	0.25	-4.51E-02	3.7
010819	3.53E-05	19.6	0.25	-4.51E-02	3.7
010820	3.53E-05	19.6	0.25	-4.51E-02	3.7
010821	3.53E-05	19.6	0.25	-4.51E-02	3.7
010822	3.53E-05	19.6	0.25	-4.51E-02	3.7
010823	3.53E-05	19.6	0.25	-4.51E-02	3.7
010824	3.53E-05	19.6	0.25	-4.51E-02	3.7
010901	3.53E-05	19.6	0.25	-4.51E-02	3.7
010902	3.53E-05	19.6	0.25	-4.51E-02	3.7
010903	3.53E-05	19.6	0.25	-4.51E-02	3.7
010904	3.53E-05	19.6	0.25	-4.51E-02	3.7
010905	3.53E-05	19.6	0.25	-4.51E-02	3.7
010906	3.53E-05	19.6	0.25	-4.51E-02	3.7
010907	3.53E-05	19.6	0.25	-4.51E-02	3.7
010908	3.53E-05	19.6	0.25	-4.51E-02	3.7
010909	3.53E-05	19.6	0.25	-4.51E-02	3.7
010910	3.53E-05	19.6	0.25	-4.51E-02	3.7
010911	3.53E-05	19.6	0.25	-4.51E-02	3.7
010912	3.53E-05	19.6	0.25	-4.51E-02	3.7
010913	3.53E-05	19.6	0.25	-4.51E-02	3.7
010914	3.53E-05	19.6	0.25	-4.51E-02	3.7
010915	3.53E-05	19.6	0.25	-4.51E-02	3.7
010916	3.53E-05	19.6	0.25	-4.51E-02	3.7
010917	3.53E-05	19.6	0.25	-4.51E-02	3.7
010918	3.53E-05	19.6	0.25	-4.51E-02	3.7
010919	3.53E-05	19.6	0.25	-4.51E-02	3.7
010920	3.53E-05	19.6	0.25	-4.51E-02	3.7
010921	3.53E-05	19.6	0.25	-4.51E-02	3.7
010922	3.53E-05	19.6	0.25	-4.51E-02	3.7
010923	3.53E-05	19.6	0.25	-4.51E-02	3.7
010924	3.53E-05	19.6	0.25	-4.51E-02	3.7
011001	3.53E-05	19.6	0.25	-4.51E-02	3.7
011002	3.53E-05	19.6	0.25	-4.51E-02	3.7
011003	3.53E-05	19.6	0.25	-4.51E-02	3.7
011004	3.53E-05	19.6	0.25	-4.51E-02	3.7
011005	3.53E-05	19.6	0.25	-4.51E-02	3.7
011006	3.53E-05	19.6	0.25	-4.51E-02	3.7
011007	3.53E-05	19.6	0.25	-4.51E-02	3.7
011008	3.53E-05	19.6	0.25	-4.51E-02	3.7
011009	3.53E-05	19.6	0.25	-4.51E-02	3.7
011010	3.53E-05	19.6	0.25	-4.51E-02	3.7
011011	3.53E-05	19.6	0.25	-4.51E-02	3.7
011012	3.53E-05	19.6	0.25	-4.51E-02	3.7
011013	3.53E-05	19.6	0.25	-4.51E-02	3.7
011014	3.53E-05	19.6	0.25	-4.51E-02	3.7
011015	3.53E-05	19.6	0.25	-4.51E-02	3.7
011016	3.53E-05	19.6	0.25	-4.51E-02	3.7
011017	3.53E-05	19.6	0.25	-4.51E-02	3.7
011018	3.53E-05	19.6	0.25	-4.51E-02	3.7
011019	3.53E-05	19.6	0.25	-4.51E-02	3.7
011020	3.53E-05	19.6	0.25	-4.51E-02	3.7
011021	3.53E-05	19.6	0.25	-4.51E-02	3.7
011022	3.53E-05	19.6	0.25	-4.51E-02	3.7
011023	3.53E-05	19.6	0.25	-4.51E-02	3.7
011024	3.53E-05	19.6	0.25	-4.51E-02	3.7
011101	3.53E-05	19.6	0.25	-4.51E-02	3.7
011102	3.53E-05	19.6	0.25	-4.51E-02	3.7
011103	3.53E-05	19.6	0.25	-4.51E-02	3.7
011104	3.53E-05	19.6	0.25	-4.51E-02	3.7
011105	3.53E-05	19.6	0.25	-4.51E-02	3.7
011106	3.53E-05	19.6	0.25	-4.51E-02	3.7
011107	3.53E-05	19.6	0.25	-4.51E-02	3.7
011108	3.53E-05	19.6	0.25	-4.51E-02	3.7
011109	3.53E-05	19.6	0.25	-4.51E-02	3.7
011110	3.53E-05	19.6	0.25	-4.51E-02	3.7
011111	3.53E-05	19.6	0.25	-4.51E-02	3.7
011112	3.53E-05	19.6	0.25	-4.51E-02	3.7
011113	3.53E-05	19.6	0.25	-4.51E-02	3.7
011114	3.53E-05	19.6	0.25	-4.51E-02	3.7
011115	3.53E-05	19.6	0.25	-4.51E-02	3.7
011116	3.53E-05	19.6	0.25	-4.51E-02	3.7
011117	3.53E-05	19.6	0.25	-4.51E-02	3.7
011118	3.53E-05	19.6	0.25	-4.51E-02	3.7
011119	3.53E-05	19.6	0.25	-4.51E-02	3.7
011120	3.53E-05	19.6	0.25	-4.51E-02	3.7
011121	3.53E-05	19.6	0.25	-4.51E-02	3.7
011122	3.53E-05	19.6	0.25	-4.51E-02	3.7
011123	3.53E-05	19.6	0.25	-4.51E-02	3.7
011124	3.53E-05	19.6	0.25	-4.51E-02	3.7
011201	3.53E-05	19.6	0.25	-4.51E-02	3.7
011202	3.53E-05	19.6	0.25	-4.51E-02	3.7
011203	3.53E-05	19.6	0.25	-4.51E-02	3.7
011204	3.53E-05	19.6	0.25	-4.51E-02	3.7
011205	3.53E-05	19.6	0.25	-4.51E-02	3.7
011206	3.53E-05	19.6	0.25	-4.51E-02	3.7
011207	3.53E-05	19.6	0.25	-4.51E-02	3.7
011208	3.53E-05	19.6	0.25	-4.51E-02	3.7
011209	3.53E-05	19.6	0.25	-4.51E-02	3.7
011210	3.53E-05	19.6	0.25	-4.51E-02	3.7
011211	3.53E-05	19.6	0.25	-4.51E-02	3.7
011212	3.53E-05	19.6	0.25	-4.51E-02	3.7
011213	3.53E-05	19.6	0.25	-4.51E-02	3.7
011214	3.53E-05	19.6	0.25	-4.51E-02	3.7
011215	3.53E-05	19.6	0.25	-4.51E-02	3.7
011216	3.53E-05	19.6	0.25	-4.51E-02	3.7
011217	3.53E-05	19.6	0.25	-4.51E-02	3.7
011218	3.53E-05	19.6	0.25	-4.51E-02	3.7
011219	3.53E-05	19.6	0.25	-4.51E-02	3.7
011220	3.53E-05	19.6	0.25	-4.51E-02	3.7
011221	3.53E-05	19.6	0.25	-4.51E-02	3.7
011222	3.53E-05	19.6	0.25	-4.51E-02	3.7
011223	3.53E-05	19.6	0.25	-4.51E-02	3.7
011224	3.53E-05	19.6	0.25	-4.51E-02	3.7
011301	3.53E-05	19.6	0.25	-4.51E-02	3.7
011302	3.53E-05	19.6	0.25	-4.51E-02	3.7
011303	3.53E-05	19.6	0.25	-4.51E-02	3.7
011304	3.53E-05	19.6	0.25	-4.51E-02	3.7
011305	3.53E-05	19.6	0.25	-4.51E-02	3.7
011306	3.53E-05	19.6	0.25	-4.51E-02	3.7
011307	3.53E-05	19.6	0.25	-4.51E-02	3.7
011308	3.53E-05	19.6	0.25	-4.51E-02	3.7
011309	3.53E-05	19.6	0.25	-4.51E-02	3.7
011310	3.53E-05	19.6	0.25	-4.51E-02	3.7
011311	3.53E-05	19.6	0.25	-4.51E-02	3.7
011312	3.53E-05	19.6	0.25	-4.51E-02	3.7
011313	3.53E-05	19.6	0.25	-4.51E-02	3.7
011314	3.53E-05	19.6	0.25	-4.51E-02	3.7
011315	3.53E-05	19.6	0.25	-4.51E-02	3.7
011316	3.53E-05	19.6	0.25	-4.51E-02	3.7
011317	3.53E-05	19.6	0.25	-4.51E-02	3.7
011318	3.53E-05	19.6	0.25	-4.51E-02	3.7
011319	3.53E-05	19.6	0.25	-4.51E-02	3.7
011320	3.53E-05	19.6	0.25	-4.51E-02	3.7
011321	3.53E-05	19.6	0.25	-4.51E-02	3.7
011322	3.53E-05	19.6	0.25	-4.51E-02	3.7
011323	3.53E-05	19.6	0.25	-4.51E-02	3.7
011324	3.53E-05	19.6	0.25	-4.51E-02	3.7
011401	3.53E-05	19.6	0.25	-4.51E-02	3.7
011402	3.53E-05	19.6	0.25	-4.51E-02	3.7
011403	3.53E-05	19.6	0.25	-4.51E-02	3.7
011404	3.53E-05	19.6	0.25	-4.51E-02	3.7
011405	3.53E-05	19.6	0.25	-4.51E-02	3.7
011406	3.53E-05	19.6	0.25	-4.51E-02	3.7
011407	3.53E-05	19.6	0.25	-4.51E-02	3.7
011408	3.53E-05	19.6	0.25	-4.51E-02	3.7
011409	3.53E-05	19.6	0.25	-4.51E-02	3.7
011410	3.53E-05	19.6	0.25	-4.51E-02	3.7
011411	3.53E-05	19.6	0.25	-4.51E-02	3.7
011412	3.53E-05	19.6	0.25	-4.51E-02	3.7
011413	3.53E-05	19.6	0.25	-4.51E-02	3.7
011414	3.53E-05	19.6	0.25	-4.51E-02	3.7
011415	3.53E-05	19.6	0.25	-4.51E-02	3.7
011416	3.53E-05	19.6	0.25	-4.51E-02	3.7
011417	3.53E-05	19.6	0.25	-4.51E-02	3.7
011418	3.53E-05	19.6	0.25	-4.51E-02	3.7
011419	3.53E-05	19.6	0.25	-4.51E-02	3.7
011420	3.53E-05	19.6	0.25	-4.51E-02	3.7
011421	3.53E-05	19.6	0.25	-4.51E-02	3.7
011422	3.53E-05	19.6	0.25	-4.51E-02	3.7
011423	3.53E-05	19.6	0.25	-4.51E-02	3.7
011424	3.53E-05	19.6	0.25	-4.51E-02	3.7
011501	3.53E-05	19.6	0.25	-4.51E-02	3.7
011502	3.53E-05	19.6	0.25	-4.51E-02	3.7
011503	3.53E-05	19.6	0.25	-4.51E-02	3.7
011504	3.53E-05	19.6	0.25	-4.51E-02	3.7
011505	3.53E-05	19.6	0.25	-4.51E-02	3.7
011506	3.53E-05	19.6	0.25	-4.51E-02	3.7
011507	3.53E-05	19.6	0.25	-4.51E-02	3.7
011508	3.53E-05	19.6	0.25	-4.51E-02	3.7
011509	3.53E-05	19.6	0.25	-4.51E-02	3.7
011510	3.53E-05	19.6	0.25	-4.51E-02	3.7
011511	3.53E-05	19.6	0.25	-4.51E-02	3.7
011512	3.53E-05	19.6	0.25	-4.51E-02	3.7
011513	3.53E-05	19.6	0.25	-4.51E-02	3.7
011514	3.53E-05	19.6	0.25	-4.51E-02	3.7
011515	3.53E-05	19.6	0.25	-4.51E-02	3.7
011516	3.53E-05	19.6	0.25	-4.51E-02	3.7
011517	3.53E-05	19.6	0.25	-4.51E-02	3.7
011518	3.53E-05	19.6	0.25	-4.51E-02	3.7
011519	3.53E-05	19.6	0.25	-4.51E-02	3.7
011520	3.53E-05	19.6	0.25	-4.51E-02	3.7
011521	3.53E-05	19.6	0.25	-4.51E-02	3.7
011522	3.53E-05	19.6	0.25	-4.51E-02	3.7
011523	3.53E-05	19.6	0.25	-4.51E-02	3.7
011524	3.53E-05	19.6	0.25	-4.51E-02	3.7
011601	3.53E-05	19.6	0.25	-4.51E-02	3.7
011602	3.53E-05	19.6	0.25	-4.51E-02	3.7
011603	3.53E-05	19.6	0.25	-4.51E-02	3.7
011604	3.53E-05	19.6	0.25	-4.51E-02	3.7
011605	3.53E-05	19.6	0.25	-4.51E-02	3.7
011606	3.53E-05	19.6	0.25	-4.51E-02	3.7
011607	3.53E-05	19.6	0.25	-4.51E-02	3.7
011608	3.53E-05	19.6	0.25	-4.51E-02	3.7
011609	3.53E-05	19.6	0.25	-4.51E-02	3.7
011610	3.53E-05	19.6	0.25	-4.51E-02	3.7
011611	3.53E-05	19.6	0.25	-4.51E-02	3.7
011612	3.53E-05	19.6	0.25	-4.51E-02	3.7
011613	3.53E-05	19.6	0.25	-4.51E-02	3.7
011614	3.53E-05	19.6	0.25	-4.51E-02	3.7
011615	3.53E-05	19.6	0.25	-4.51E-02	3.7
011616	3.53E-05	19.6	0.25	-4.51E-02	3.7
011617	3.53E-05	19.6	0.25	-4.51E-02	3.7
011618	3.53E-05	19.6	0.25	-4.51E-02	3.7
011619	3.53E-05	19.6	0.25	-4.51E-02	3.7
011620	3.53E-05	19.6	0.25	-4.51E-02	3.7
011621	3.53E-05	19.6	0.25	-4.51E-02	3.7
011622	3.53E-05	19.6	0.25	-4.51E-02	3.7
011623	3.53E-05	19.6	0.25	-4.51E-02	3.7
011624	3.53E-05	19.6	0.25	-4.51E-02	3.7
011701	3.53E-05	19.6	0.25	-4.51E-02	3.7
011702	3.53E-05	19.6	0.25	-4.51E-02	3.7
011703	3.53E-05	19.6	0.25	-4.51E-02	3.7
011704	3.53E-05	19.6	0.25	-4.51E-02	3.7
011705	3.53E-05	19.6	0.25	-4.51E-02	3.7
011706	3.53E-05	19.6	0.25	-4.51E-02	3.7
011707	3.53E-05	19.6	0.25	-4.51E-02	3.7
011708	3.53E-05	19.6	0.25	-4.51E-02	3.7
011709	3.53E-05	19.6	0.25	-4.51E-02	3.7
011710	3.53E-05	19.6	0.25	-4.51E-02	3.7
011711	3.53E-05	19.6	0.25	-4.51E-02	3.7
011712	3.53E-05	19.6	0.25	-4.51E-02	3.7
011713	3.53E-05	19.6	0.25	-4.51E-02	3.7
011714	3.53E-05	19.6	0.25	-4.51E-02	3.7
011715	3.53E-05	19.6	0.25	-4.51E-02	3.7
011716	3.53E-05	19.6	0.25	-4.51E-02	3.7
011717	3.53E-05	19.6	0.25	-4.51E-02	3.7
011718	3.53E-05	19.6	0.25	-4.51E-02	3.7
011719	3.53E-05	19.6	0.25	-4.51E-02	3.7
011720	3.53E-05	19.6	0.25	-4.51E-02	3.7
011721	3.53E-05	19.6	0.25	-4.51E-02	3.7
011722	3.53E-05	19.6	0.25	-4.51E-02	3.7
011723	3.53E-05	19.6	0.25	-4.51E-02	3.7
011724	3.53E-05	19.6	0.25	-4.51E-02	3.7
011801	3.53E-05	19.6	0.25	-4.51E-02	3.7
011802	3.53E-05	19.6	0.25	-4.51E-02	3.7
011803	3.53E-05	19.6	0.25	-4.51E-02	3.7
